client_first_lapp_mark,client_first_manual_lapp_mark,warning_count,data_comparison_8,data_comparison_13,creditcard_check_16,data_quality_19,data_quality_24,data_quality_27,data_quality_28,data_quality_32,data_quality_33,accounts_check_38,accounts_check_sum,creditcard_check_sum,data_comparison_check_sum,data_quality_check_sum,other_check_sum,payment_method_method1,payment_method_method3,payment_method_method4,warning_count&data_comparison_15,warning_count&data_comparison_14,warning_count&data_comparison_12,warning_count&data_comparison_11,AR,creditcard_check_18&data_quality_32,creditcard_check_18&data_quality_33,data_quality_19&data_quality_28
1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,512,0,0,512,1,0,1,0
0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,343,0,343,343,0,0,0,0
0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,216,216,0,0,0,0
1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,0,0,0,0,0,0,0
1,1,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,64,0,0,0,0,0
0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0,1,0,0,0,0,343,1,0,1,0
0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,343,0,0,0,0,0,0,0
0,1,10,0,0,1,0,0,1,0,0,0,0,0,1,3,2,0,1,0,0,1000,0,1000,1000,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,27,0,0,0,0,0
0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,64,0,0,0,0
1,1,8,0,0,1,0,0,0,0,1,0,0,1,2,1,2,0,1,0,0,512,0,0,0,1,2,1,0
0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,27,0,0,0,0
0,1,10,0,1,0,0,0,1,1,0,0,0,1,0,3,3,0,0,0,0,0,0,1000,1000,1,0,0,1
0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,512,512,1,0,0,0
1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,343,343,1,0,0,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,125,125,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,216,216,1,1,2,0
0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0
0,1,5,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,125,1,2,1,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,64,1,0,0,0
0,1,7,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,343,1,0,0,0
0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,64,0,0,0,0,0
0,0,4,0,0,1,0,0,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,1,2,0
0,1,6,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,216,216,1,1,2,0
0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,125,0,2,1,0
0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,343,343,1,0,0,0
0,1,10,0,0,0,0,0,1,0,0,0,1,1,0,4,1,0,1,0,0,1000,0,1000,1000,0,0,0,0
0,1,7,0,0,0,0,0,1,1,0,0,1,1,0,1,3,0,1,0,0,0,0,0,343,0,0,0,1
0,0,11,1,1,0,0,0,0,0,0,1,0,0,1,5,1,0,1,0,0,1331,0,1331,1331,1,1,2,0
1,1,6,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,216,0,0,0,1,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,125,125,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,125,125,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,125,125,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,125,0,0,0,0,0,0,0
1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,125,0,0,0,0,0
0,0,7,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,343,0,0,0,1,2,1,0
0,1,6,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,216,216,0,0,0,0
1,1,9,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,1,0,0,0,0,729,729,1,1,2,0
0,0,5,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,125,0,0,0,0,0
1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,216,216,0,0,0,1
1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,64,0,0,0,0
0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,125,0,0,0,0,0
0,0,8,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,512,512,1,1,2,0
0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,64,1,1,2,0
0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,216,0,0,216,0,0,0,0
1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,64,0,0,64,0,0,0,0
0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,1,0,729,729,0,1,1,0,0
0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,216,0,0,0,0,0
0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,27,0,1,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,216,0,216,216,0,0,0,0
1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,0,0,0,0,0,0,0
0,1,6,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,216,0,0,0,0,1,2,0
1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,125,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,64,0,1,0,1,0
1,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,1
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,125,0,0,0,0,0
1,1,5,0,0,0,0,0,0,0,1,0,1,1,1,0,2,0,1,0,0,0,0,0,0,1,2,1,0
0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,64,0,1,0,0,0
0,1,5,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,125,0,2,1,0
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,343,343,1,0,0,0
1,1,9,0,1,0,0,0,1,0,0,0,1,1,0,3,1,0,1,0,0,0,0,729,729,1,0,0,0
0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,343,0,0,343,0,0,0,0
1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,125,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,0,0,0,0,0
0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,27,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,64,64,0,0,0,0
0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,125,0,0,0,0,0
0,1,8,0,1,0,0,0,0,0,0,1,0,0,1,3,2,0,1,0,0,0,0,512,512,0,1,2,0
1,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,6,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,216,0,0,0,0,0
1,1,4,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2,0
1,1,6,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,216,0,0,0,0
0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,64,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0
0,0,7,0,1,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,0,0,343,343,1,0,0,0
1,1,5,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,125,0,1,2,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,64,64,0,0,0,0
0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0
0,1,10,0,1,0,0,0,0,1,1,0,0,0,1,3,3,0,1,0,0,1000,0,0,1000,1,2,1,1
0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,64,0,0,0,0,0,0,0
0,1,10,0,0,1,0,0,0,0,0,1,0,0,2,2,2,0,1,0,0,0,0,1000,0,1,1,2,0
1,1,11,0,1,0,0,1,0,0,0,1,0,0,1,4,2,0,1,0,0,1331,0,1331,1331,1,1,2,0
0,1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0
0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,64,0,1,2,0
0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,343,0,0,343,0,0,0,0
0,1,8,0,1,0,1,0,0,1,1,0,0,0,0,2,4,1,0,0,1,0,0,0,512,1,1,0,2
0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,64,1,0,0,0
1,1,7,0,1,0,0,1,0,0,0,1,0,0,1,2,3,0,1,0,0,0,0,343,0,0,1,2,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,125,0,0,125,1,0,0,0
1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,27,0,0,0,0,0,0,1
1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0
1,1,4,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2,0
1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,125,0,0,0,0,0
0,0,7,0,1,0,0,0,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,343,343,0,1,2,0
0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0
0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,125,0,0,0,0
0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,216,216,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1,6,0,1,0,0,0,1,0,0,0,1,1,0,2,2,0,1,0,0,0,0,216,0,1,0,0,0
0,0,7,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,1,0,0,0,0,0,343,0,1,2,1
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,125,0,0,0,0
1,1,7,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,343,0,1,2,0
0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0
1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,64,0,0,64,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,27,0,0,0,0
1,1,6,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,216,0,0,0,0
0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,125,0,0,0,0,0
0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,64,0,0,0,0
1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,125,0,1,0,1,0
1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,125,0,0,125,0,0,0,0
1,1,7,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,343,0,0,0,1
1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,125,0,0,0,1,0,0,0
1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,8,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,512,0,0,512,0,2,1,0
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,64,64,0,0,0,0
0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,343,0,0,343,1,1,2,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
1,1,5,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,1,2,1
0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,27,0,0,0,1,0
1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,125,125,0,0,0,0
0,1,5,0,1,0,1,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,64,64,0,0,0,0
0,1,4,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,1,1,2,0
0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,343,0,343,343,1,0,0,0
0,1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,0,512,0,512,0,1,0,0,2
0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,27,0,0,1,0
1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,343,0,0,343,1,0,0,0
0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,125,0,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,216,216,0,0,0,0
1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,343,343,1,0,0,0
1,1,5,0,0,0,1,0,0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,2,2
0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,64,0,1,2,0
0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,216,0,0,216,0,0,0,0
0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,64,0,0,0,0
1,1,8,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,512,0,512,512,0,1,2,0
1,1,7,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,343,0,343,1,0,1,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,64,64,0,0,0,0
0,1,4,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,64,0,0,0,1,0,0,0
1,1,6,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,216,0,0,0,0
0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,64,64,0,0,0,0
0,0,7,0,1,0,0,0,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,343,343,1,1,2,0
0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,216,0,0,0,0,0
0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,343,343,0,0,0,0
1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,216,216,1,0,0,0
1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,125,0,0,125,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27,1,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,27,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0
1,1,6,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,216,0,2,1,0
0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,64,0,0,0,0,0
1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,0,1000,1000,0,1000,1,0,1,0
0,0,8,0,1,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,512,0,512,512,0,0,0,0
0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,125,125,0,0,0,0
0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,125,0,0,0,0,0
0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,27,1,0,0,0
0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,216,0,0,0,0
0,0,14,0,1,0,0,0,0,0,0,1,0,1,1,4,3,0,1,0,0,2744,2744,2744,0,1,1,2,0
1,1,5,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,125,0,0,0,0,0
0,1,5,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,125,0,0,0,1,0
1,1,11,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,1331,1331,1,0,0,1
1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,729,0,0,729,1,0,0,1
1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,64,0,0,0,0
0,1,12,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1728,1728,0,0,0,1
0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,729,0,0,0,0,1
0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,216,0,216,216,0,0,0,0
